Number,Date,City,Type of Land,Block,Land ID,Area ( m2),Price ( kd),Lat / Long,1- Street ( Y / N),  Back and Front Streets? (0/1),Corner (0/1),Island (0/1),Alley (0/1),Next to Electricity Generator (0/1),Next to a yard (0/1),width,length,Front Yard Area (m2),back Yard Area (m2),Right Yard,Left Yard,Sea Side,Built (0/1),No. Floors,Basement (0/1),Year Built,Restoration Date,ruinous,Rented,Number Of Unit,Income,Additional information
14,2011/11/15,Abu Ftaira,Residential,8,435,420,215000,"29.182547, 48.104154",0,1,0,0,0,0,0,16.8,25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2011/09/10,Mubarak Al-Abdulah,Residential,1,562,412.5,265000,"29.278458, 48.049099",1,0,0,0,0,0,0,16.5,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2012/04/01,Abu Ftaira,Residential,8,431,416,215000,"29.182354, 48.103515",0,1,0,0,0,0,0,16.64,25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2012/04/01,Abu Ftaira,Residential,8,432,416,215000,"29.182412, 48.103671",0,1,0,0,0,0,0,16.64,25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2012/04/01,Abu Ftaira,Residential,8,433,416,215000,"29.182508, 48.103821",0,1,0,0,0,0,0,16.64,25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2012/05/01,Abu Ftaira,Residential,8,434,416,215000,"29.182566, 48.103994",0,1,0,0,0,0,0,16.64,25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2012/05/01,Abu Ftaira,Residential,2,490,400,220000,"29.19684, 48.098367",0,0,0,1,0,0,0,16,25,12,0,4,8,0,0,0,0,0,0,0,0,0,0,0
21,2011/09/21,Sabah Al-Ahmed Marine City,Residential,3B,856,658,183000,"28.659230, 48.324734",0,1,0,0,0,0,0,25.83,0,8,12,0,0,1,0,0,0,0,0,0,0,0,0,0
22,2012/01/19,Abu Ftaira,Residential,2,491,400,190000,"29.196731, 48.098408",0,1,0,0,0,0,0,16,25,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2011/12/28,Abu Ftaira,Residential,2,388,400,160000,"29.201042, 48.098465",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2012/08/01,Abu Ftaira,Residential,8,430,416,235000,"29.182373, 48.103325",0,1,0,0,0,1,0,16.64,25,25,4,0,6.5,0,0,0,0,0,0,0,0,0,0,0
25,2012/12/01,Hateen,Residential,3,292,640,390000,"29.280477, 48.030314",0,0,1,0,0,0,0,21.334,30,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0
26,2012/09/02,Abu Ftaira,Residential,2,388,400,165000,"29.201042, 48.098465",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2012/02/20,Abu Ftaira,Residential,8,434,416,235000,"29.182566, 48.103994",0,1,0,0,0,0,0,16.64,25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2012/02/12,Abu Ftaira,Residential,6,355,400,163000,"29.189058, 48.103416",1,0,0,0,0,0,0,16,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2012/08/03,Abu Ftaira,Residential,2,473,400,163000,"29.197002, 48.099045",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2012/08/03,Abu Ftaira,Residential,2,471,400,163000,"29.197036, 48.099222",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2012/05/03,Almansouriya,Residential,2,232,500,370000,"29.355481, 47.992884",1,0,0,0,0,0,0,25,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2012/05/23,Aljabriya,Residential,10,240,750,180000,"29.312723, 48.033433",1,0,0,0,0,0,0,25,30,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,2012/11/04,Abu Ftaira,Residential,2,475,400,210000,"29.196982, 48.098891",0,0,1,0,0,0,0,16,25,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0
34,2012/06/03,Abu Ftaira,Residential,1,371,400,170000,"29.208039, 48.093797",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2012/03/29,Alwafra,Residential,1,32,400,52000,"28.609979, 48.012148",0,0,1,0,0,0,0,16,25,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0
36,2012/03/14,Sabah Al-Ahmed Marine City,Residential,3B,3845,532,86500,"28.662545, 48.324479",0,1,0,0,0,0,0,17.73,0,8,25,0,0,1,0,0,0,0,0,0,0,0,0,0
37,2012/04/29,Abu Ftaira,Residential,2,490,400,235000,"29.19684, 48.098367",0,0,0,1,0,0,0,16,25,12,0,4,8,0,0,0,0,0,0,0,0,0,0,0
38,2012/10/05,Abu Ftaira,Residential,2,300,400,168000,"29.201135, 48.096849",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2012/04/30,Abu Ftaira,Residential,5,315,550,190000,"29.196556, 48.105874",1,0,0,0,0,0,0,22,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2012/04/30,Abu Ftaira,Residential,2,27,400,235000,"29.201025, 48.094260",0,1,0,0,0,1,0,16,25,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0
41,2012/05/22,Abu Ftaira,Residential,2,28,400,235000,"29.200895, 48.094301",0,1,0,0,0,0,0,16,25,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2012/04/24,Abu Ftaira,Residential,8,129,500,240000,,0,0,0,1,0,0,0,25,20,,0,,,0,0,0,0,0,0,0,0,0,0,0
43,2012/05/14,Funtaitees,Residential,1,359,400,188000,,1,0,0,0,1,0,0,16,20,4,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
44,2012/10/05,Abu Ftaira,Residential,5,315,550,205000,"29.196556, 48.105874",1,0,0,0,0,0,0,22,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2012/06/24,Abu Ftaira,Residential,1,431,400,170000,,1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2012/06/08,Abu Ftaira,Residential,2,28,400,250000,"29.200895, 48.094301",0,1,0,0,0,0,0,16,25,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2012/06/08,Abu Ftaira,Residential,2,27,400,255000,"29.201025, 48.094260",0,1,0,0,0,1,0,16,25,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0
48,2012/02/08,Funtaitees,Residential,1,296,400,196000,,1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2012/06/08,Abu Ftaira,Residential,2,490,400,250000,"29.19684, 48.098367",0,0,0,1,0,0,0,16,25,12,0,4,8,0,0,0,0,0,0,0,0,0,0,0
50,2012/03/07,Sabah Al-Ahmed Marine City,Residential,3B,2982,647,184000,,0,1,0,0,0,0,0,17.5,,,,,,1,0,0,0,0,0,0,0,0,0,0
51,2012/03/07,Sabah Al-Ahmed Marine City,Residential,3B,2983,647,184000,,0,1,0,0,0,0,0,17.5,,,,,,1,0,0,0,0,0,0,0,0,0,0
52,2012/08/08,Abu Ftaira,Residential,8,129,500,255000,,0,0,0,1,0,0,0,25,20,,0,,,0,0,0,0,0,0,0,0,0,0,0
53,2012/08/08,Funtaitees,Residential,2,33,400,226000,,0,1,0,0,0,0,0,16,25,,,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2012/07/08,Sabah Al-Ahmed Marine City,Residential,3B,2980,647,184000,,0,1,0,0,0,0,0,17.5,,,,,,1,0,0,0,0,0,0,0,0,0,0
55,2013/01/14,Abu Ftaira,Residential,1,216,400,220000,"29.207052, 48.095566",1,0,0,0,0,0,0,16,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,
56,2013/02/07,AL-Masayel,Residential,4,43,500,255000,"29.233852, 48.092925",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
57,2013/02/05,Abu Ftaira,Residential,8,387,400,225000,"29.183972, 48.106230",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
58,2013/01/28,Abu Ftaira,Residential,6,277,400,225000,"29.189357, 48.105408",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
59,2013/01/28,Abu Ftaira,Residential,6,279,400,225000,"29.189486, 48.105338",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
60,2013/01/21,Sabah Al Ahmed Al Bahreya,Residential,A3,3429,526,180000,"28.658566, 48.333290",0,1,0,0,0,0,0,15.60,33.71,9,11,0,0,1,0,0,0,0,0,0,0,0,,
61,2013/02/07,Sabah Al Ahmed Al Bahreya,Residential,A3,3349,506,185000,"28.656772, 48.339567",0,1,0,0,1,1,0,15,36,11,6,0,0,1,0,0,0,0,0,0,0,0,,
62,2013/02/06,Abu Ftaira,Residential,2,241,400,219000,"29.200120, 48.096711",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
63,2013/03/12,Funtaitees,Residential,2,32,400,265000,"29.226207, 48.088423",0,1,0,0,0,0,0,16,25,5,5,0,0,0,0,0,0,0,0,0,0,0,,
64,2013/03/19,Sabah Al Ahmed Al Bahreya,Residential,A3,3429,526,190000,"28.658566, 48.333290",0,1,0,0,0,0,0,15.60,33.71,9,11,0,0,1,0,0,0,0,0,0,0,0,,
65,2013/02/01,Sabah Al Ahmed Al Bahreya,Residential,A3,2774,462,190000,"28.667223, 48.347180",0,1,0,0,0,0,0,15,32.8,12,8,0,0,1,0,0,0,0,0,0,0,0,,
66,2013/03/10,Sabah Al Ahmed Al Bahreya,Residential,A2,765,693,128205,"28.683060, 48.360681",0,1,0,0,0,0,0,F/17.60-B/19.94,35.87,7,7,0,0,0,0,0,0,0,0,0,0,0,,
67,2013/03/19,Sabah Al Ahmed Al Bahreya,Residential,A3,3394,506,194000,"28.656772, 48.339567",0,1,0,0,1,1,0,15,36,11,6,0,0,1,0,0,0,0,0,0,0,0,,
68,2013/04/04,Abu Ftaira,Residential,1,375,400,228000,"29.207747, 48.093759",1,0,0,0,1,0,0,16,25,4,0,0,4,0,0,0,0,0,0,0,0,0,,
69,2013/04/08,Funtaitees,Residential,2,50,400,235000,"29.226610, 48.089559",1,0,0,0,0,0,0,16,25,6,0,0,0,0,0,0,0,0,0,0,0,0,,
70,2013/04/09,Abu Ftaira,Residential,1,288,400,222000,"29.208465, 48.098035",0,1,0,0,0,0,0,16,25,6,8,0,0,0,0,0,0,0,0,0,0,0,,
71,2013/04/15,Sabah Al Ahmed Al Bahreya,Residential,A3,3280,460,203000,"28.678268, 48.343189",0,1,0,0,0,0,0,15.03,30.06,11,8,0,0,1,0,0,0,0,0,0,0,0,,
72,2013/04/22,QIBLA,Commercial building,4,33,17,59000,https://maps.app.goo.gl/W3yY5rZixrKqon2d8,,,,,,,,,,,,,,,,,,,,,,,,
73,2013/04/08,Sabah Al Ahmed Al Bahreya,Residential,A3,3394,506,194000,"28.656772, 48.339567",0,1,0,0,1,1,0,15,36,11,6,0,0,1,0,0,0,0,0,0,0,0,,
74,2013/04/10,Abu Ftaira,Residential,1,196,400,223000,"29.206517, 48.096059",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
75,2013/03/28,Sabah Al Ahmed Al Bahreya,Residential,A3,3429,526,198000,"28.658566, 48.333290",0,1,0,0,0,0,0,15.60,33.71,9,11,0,0,1,0,0,0,0,0,0,0,0,,
76,2013/03/28,Sabah Al Ahmed Al Bahreya,Residential,A3,2844,490,190000,"28.664586, 48.345265",0,1,0,0,0,0,0,16.14,30.35,7,9,0,0,1,0,0,0,0,0,0,0,0,,
77,2013/01/28,Zahra,Residential,2,549,379.5,325000,"29.283301, 48.003422",1,0,0,0,0,0,0,25,15.18,3,0,0,0,0,0,0,0,0,0,0,0,0,,
78,2013/01/08,Zahra,Residential,1,577,375,285000,"29.278229, 48.010081",1,0,0,0,0,0,0,15,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
79,2013/04/12,Sabah Al Ahmed Al Bahreya,Residential,A3,2908,450,200000,"28.661577, 48.339314",0,1,0,0,0,0,0,F/18.25-B/15.04,29,9,7,0,0,1,0,0,0,0,0,0,0,0,,
80,2013/04/24,AL-Masayel,Residential,4,41,500,260000,"29.233799, 48.092735",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
81,2013/03/21,Sabah Al Ahmed Al Bahreya,Residential,A2,758,850,157250,"28.682431, 48.361852",0,0,1,0,0,0,0,22,38.63,9,0,3,0,0,0,0,0,0,0,0,0,0,,
82,2013/04/09,Sabah Al Ahmed Al Bahreya,Residential,A1,671,1737,320000,"28.655691, 48.363938",0,1,0,0,1,0,0,F/16.57-B/30.24,75.26,6,10,5,0,0,0,0,0,0,0,0,0,0,,
83,2013/05/06,salwa,Residential,12,65-66,100,130000,"29.274495, 48.082992",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,شقه مشاع في بيت سكن خاص
84,2013/04/08,Abu Ftaira,Residential,1,478,400,220000,"29.203340, 48.094593",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
85,2013/04/17,Sabah Al Ahmed Al Bahreya,Residential,A3,1757,570,255000,"28.657173, 48.343636",0,1,0,0,0,0,0,F/34.17-B/20.43,22.47,7,6,0,0,1,0,0,0,0,0,0,0,0,,
86,2013/01/23,DAIYA,Residential,3,51 ك,400,300000,"29.353001, 48.012509",1,0,0,0,0,0,0,16,25,3,0,0,0,0,1,2,0,0,0,0,0,9,,هدام
87,2013/05/05,Sabah Al Ahmed Al Bahreya,Residential,A3,4077,465,198000,"28.659812, 48.341075",0,1,0,0,0,0,0,15.50,30,7,8,0,0,1,0,0,0,0,0,0,0,0,,
88,2013/05/05,Abu Ftaira,Residential,5,344,493,295000,"29.195428, 48.103753",0,0,1,0,0,0,0,15.21,25,5,0,0,5,0,0,0,0,0,0,0,0,0,,
89,2013/04/28,Sabah Al Ahmed Al Bahreya,Residential,A3,3133,450,191000,"28.668179, 48.336813",0,1,0,0,0,0,0,15,30,9,5,0,0,1,0,0,0,0,0,0,0,0,,
90,2013/04/30,Sabah Al Ahmed Al Bahreya,Residential,A3,2982,647,240000,"28.660811, 48.328430",0,1,0,0,0,0,0,F/15-B/17.50,39.82,9,9,0,0,1,0,0,0,0,0,0,0,0,,
91,2013/05/05,Sabah Al Ahmed Al Bahreya,Residential,A3,2844,490,205000,"28.664584, 48.345270",0,1,0,0,0,0,0,16.14,30.35,10,10,0,0,1,0,0,0,0,0,0,0,0,,
92,2013/05/06,Abu Ftaira,Residential,2,606,400,220000,"29.194606, 48.098428",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
93,2013/05/05,Sabah Al Ahmed Al Bahreya,Residential,A3,4021,459,198000,"28.658828, 48.337501",0,1,0,0,0,0,0,15.30,30,10,11,0,0,1,0,0,0,0,0,0,0,0,,
94,2013/06/04,Abu Ftaira,Residential,6,275,400,220000,"29.189217, 48.105461",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
95,2013/06/03,Sabah Al Ahmed Al Bahreya,Residential,A3,3133,450,205000,"28.668179, 48.336813",0,1,0,0,0,0,0,15,30,9,5,0,0,1,0,0,0,0,0,0,0,0,,
96,2013/06/04,Sabah Al Ahmed Al Bahreya,Residential,A3,3127,450,200000,"28.668308, 48.337761",0,1,0,0,0,0,0,15,30,9,5,0,0,1,0,0,0,0,0,0,0,0,,
97,2013/06/09,Sabah Al Ahmed Al Bahreya,Residential,A3,3866,452,138000,"28.667285, 48.324833",0,1,0,0,0,1,0,F/16.90-B/19.26,25,7,22,0,4,0,0,0,0,0,0,0,0,0,,
98,2013/06/12,Zahra,Residential,1,121,500,445000,"29.274864, 48.011809",0,0,1,0,0,0,0,25,20,7,0,3,0,0,0,0,0,0,0,0,0,0,,
99,2013/06/24,salwa,Residential,10,326-327,1000,1150000,"29.286152, 48.078623",1,0,0,0,1,0,1,50,40,3,10,0,8,0,0,0,0,0,0,0,0,0,,
100,2013/06/25,Sabah Al -Salem,investment lands,3,24,875,1050000,"29.252528, 48.081785",0,0,1,0,0,1,1,35,25,5,0,0,6,0,1,5,0,0,0,0,0,0,,
101,2013/06/30,Sabah Al -Salem,investment lands,3,95,875,1050000,"29.252338, 48.081057",0,0,1,0,0,1,1,25,35,3,0,0,7,0,1,0,0,0,0,0,0,0,,
102,2013/07/13,Zahra,Residential,1,577,375,305000,"29.278238, 48.010110",1,0,0,0,0,0,0,15,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
103,2013/07/10,Sabah Al -Salem,Residential,7,519,395.5,280000,"29.255679, 48.072272",1,0,0,0,0,0,0,14,28.25,5,0,0,0,0,0,1,0,0,0,0,0,0,,
104,2013/06/27,Sabah Al Ahmed Al Bahreya,Residential,A3,2908,450,210000,"28.661577, 48.339314",0,1,0,0,0,0,0,F/18.25-B/15.04,29,9,7,0,0,1,0,0,0,0,0,0,0,0,,
105,2013/08/01,Sabah Al Ahmed Al Bahreya,Residential,A3,4021,459,210000,"28.658828, 48.337525",0,1,0,0,0,0,0,15.30,30,8,8,0,0,1,0,0,0,0,0,0,0,0,,
106,2013/06/27,Funtaitees,Residential,2,191,400,235000,"29.226309, 48.084653",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
107,2013/05/27,Zahra,Residential,2,82,500,390000,"29.283637, 48.003426",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
108,2013/07/24,Zahra,Residential,2,548,375,360000,"29.283358, 48.003157",1,0,0,0,0,0,0,25,15,4,0,0,0,0,0,0,0,0,0,0,0,0,,
109,2013/07/16,Sabah Al Ahmed Al Bahreya,Residential,A3,3866,452,138000,"28.667262, 48.324827",0,1,0,0,1,0,0,15,25,7,21,0,5,0,0,0,0,0,0,0,0,0,,
110,2013/07/22,Zahra,Residential,2,549,379.5,325000,"29.283358, 48.003157",1,0,0,0,0,0,0,25,15,4,0,0,0,0,0,0,0,0,0,0,0,0,,
111,2013/07/16,Sabah Al Ahmed Al Bahreya,Residential,A3,2937,531,220000,"28.658580, 48.338549",0,1,0,0,0,0,0,16.12,32.49,7,11,0,0,1,0,0,0,0,0,0,0,0,,
112,2013/07/22,Sabah Al Ahmed Al Bahreya,Residential,A3,3392,506,220000,"28.657124, 48.335548",0,1,0,0,0,0,0,15.01,33.71,7,11,0,0,1,0,0,0,0,0,0,0,0,,
113,2013/08/07,Sabah Al Ahmed Al Bahreya,Residential,A3,2717,480,155000,"28.658561, 48.353839",0,1,0,0,0,0,0,15,32,8,40,0,0,0,0,0,0,0,0,0,0,0,,
114,2013/07/16,Abu Ftaira,Residential,2,243,400,219000,"29.200152, 48.096862",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
115,2013/07/30,Zahra,Residential,1,121,500,480000,"29.274864, 48.011809",0,0,1,0,0,0,0,25,20,7,0,3,0,0,0,0,0,0,0,0,0,0,,
116,2013/07/21,Sabah Al Ahmed Al Bahreya,Residential,A3,3127,450,210000,"28.668308, 48.337761",0,1,0,0,0,0,0,15,30,9,5,0,0,1,0,0,0,0,0,0,0,0,,
117,2013/07/21,Sabah Al Ahmed Al Bahreya,Residential,A3,4019,459,212000,"28.658634, 48.337748",0,1,0,0,0,0,0,15.30,30,9,11,0,0,1,0,0,0,0,0,0,0,0,,
118,2013/07/17,Sabah Al Ahmed Al Bahreya,Residential,A3,2909,450,210000,"28.661681, 48.339179",0,1,0,0,0,0,0,F/18.25-B/15.04,29,9,7,0,0,1,0,0,0,0,0,0,0,0,,
119,2013/08/01,Zahra,Residential,1,588,385,360000,"29.278547, 48.008686",1,0,0,0,0,0,0,25,15.40,3,0,0,0,0,0,0,0,0,0,0,0,0,,
120,2013/09/25,Sabah Al Ahmed Al Bahreya,Residential,A3,2937,531,235000,"28.658580, 48.338549",0,1,0,0,0,0,0,16.12,32.49,7,11,0,0,1,0,0,0,0,0,0,0,0,,
121,2013/09/25,Sabah Al Ahmed Al Bahreya,Residential,A4,1502,505,212000,"28.640230, 48.325401",0,1,0,0,0,0,0, F/18.66-B/15,30,9,17,0,0,1,0,0,0,0,0,0,0,0,,
122,2013/09/01,AL-FINTAS,investment lands,,175,200.19,200000,,,,,,,,,,,,,,,,,,,,,,,,,
123,2013/10/13,SALAM,Residential,3,125,500,500000,"29.300238, 48.012488",0,0,1,0,0,0,0,25,20,7,0,3,0,0,0,0,0,0,0,0,0,0,,
124,2013/10/01,Sabah Al Ahmed Al Bahreya,Residential,A3,3565,487,230000,"28.677207, 48.334134",0,1,0,0,0,0,0,15.29,31.85,10,10,0,0,0,0,0,0,0,0,0,0,0,,
125,2013/10/26,Abu Ftaira,Residential,2,606,400,235000,"29.194606, 48.098428",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
126,2013/09/26,Abu Ftaira,Residential,1,288,400,235000,"29.208465, 48.098035",0,1,0,0,0,0,0,16,25,6,8,0,0,0,0,0,0,0,0,0,0,0,,
127,2013/10/23,Sabah Al Ahmed Al Bahreya,Residential,A3,2909,450,222000,"28.661681, 48.339179",0,1,0,0,0,0,0,F/18.25-B/15.04,29,9,7,0,0,1,0,0,0,0,0,0,0,0,,
128,2013/09/30,Abu Ftaira,Residential,2,243,400,235000,"29.200152, 48.096862",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
129,2013/09/30,Abu Ftaira,Residential,2,241,400,235000,"29.200120, 48.096711",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
130,2013/10/13,Dasma,Residential,6,78,500,420000,"29.363511, 48.006745",1,0,0,0,0,0,0,20,25,3,0,0,0,0,1,2,0,0,0,0,0,5,,
131,2013/10/02,Sabah Al Ahmed Al Bahreya,Residential,A4,1157,450,212000,"28.642134, 48.333090",0,1,0,0,0,0,0,15,30,7,10,0,0,1,0,0,0,0,0,0,0,0,,
132,2013/10/02,Sabah Al Ahmed Al Bahreya,Residential,A4,1156,450,212000,"28.642266, 48.333175",0,1,0,0,0,0,0,15,30,7,10,0,0,1,0,0,0,0,0,0,0,0,,
133,2013/10/10,Rumaithiya,Residential,7,254,500,440000,"29.323460, 48.077710",1,0,0,0,0,0,0,25,20,12,0,0,0,0,0,0,0,0,0,0,0,0,,
134,2013/11/10,Sabah Al Ahmed Al Bahreya,Residential,A3,4021,459,225000,"28.658828, 48.337525",0,1,0,0,0,0,0,15.30,30,8,8,0,0,1,0,0,0,0,0,0,0,0,,
135,2013/11/28,Sabah Al Ahmed Al Bahreya,Residential,A3,3429,526,230000,"28.658566, 48.333290",0,1,0,0,0,0,0,15.60,33.71,9,11,0,0,1,0,0,0,0,0,0,0,0,,
136,2013/10/31,SHUHADA,Residential,5,93,400,615000,"29.274321, 48.027374",0,1,0,0,0,0,0,20,20,6,4,0,0,0,1,3,0,0,0,0,0,0,,
137,2013/11/17,Sabah Al Ahmed Al Bahreya,Residential,A3,3100,450,223000,"28.666075, 48.337381",0,1,0,0,0,0,0,15,30,7,14,0,0,1,0,0,0,0,0,0,0,0,,
138,2013/11/28,Sabah Al Ahmed Al Bahreya,Residential,A4,1199,465,215000,"28.645638, 48.333700",0,1,0,0,0,0,0,F/18.81-B/15.38,27.20,9,14,0,0,1,0,0,0,0,0,0,0,0,,
139,2013/11/25,Sabah Al Ahmed Al Bahreya,Residential,A2,758,850,185000,"28.682431, 48.361852",0,0,1,0,0,0,0,22,38.63,9,0,3,0,0,0,0,0,0,0,0,0,0,,
140,20013/10/09,Funtaitees,Residential,6,402,400,239000,"29.217054, 48.096396",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
141,2013/10/09,Funtaitees,Residential,6,404,400,239000,"29.216990, 48.096240",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
142,2013/12/18,SURRA,Residential,1,11,1367,1500000,"29.320705, 48.012514",0,1,0,0,0,0,0,25,55.20,6,12,0,0,0,0,0,0,0,0,0,0,0,,
143,2013/12/18,Sabah Al -Salem,investment lands,3,24,875,1225000,"29.255972, 48.084110",0,0,1,0,1,1,1,35,25,7,0,7,0,0,0,0,0,0,0,0,0,0,,
144,2013/12/23,Sabah Al Ahmed Al Bahreya,Residential,A1,400,1211,350000,"28.649571, 48.370097",0,1,0,0,0,0,0,F/14.17-B/26.40,64.95,7,9,0,0,1,0,0,0,0,0,0,0,0,,
